Phrasal-Verb,Traduzione-IT,Esempio,Trad-Esempio,Common-Errors
leave-out,escludere,Don’t leave me out,Non escludermi,Using forget
leave-out,omettere,Don’t leave it out,Non ometterlo,Using exclude
let-down,deludere,He let me down,Mi ha deluso,Using disappoint
let-in,far entrare,Let him in,Fallo entrare,Using allow
let-in,far entrare,Let me in,Fammi entrare,Using allow only
live-up-to,essere all’altezza,He lived up to expectations,È stato all’altezza,Using satisfy
log-in,accedere,Log in to account,Accedi all’account,Using enter
log-out,disconnettersi,Log out now,Disconnettiti ora,Using exit
look-after,prendersi cura,She looks after kids,Si prende cura dei bambini,Using look for
look-ahead,guardare avanti,We must look ahead,Dobbiamo guardare avanti,Using plan
look-for,cercare,I’m looking for keys,Cerco le chiavi,Confusing with look at
look-forward,non vedere l’ora,I look forward to it,Non vedo l’ora,Missing to
look-into,indagare,We’ll look into it,Indagheremo,Using look at
make-out,capire / baciarsi,I can’t make it out,Non riesco a capirlo,Confusing meanings
make-up,inventare / truccarsi,She made up a story,Ha inventato una storia,Confusing meanings
miss-out,perdersi,Don’t miss out,Non perdertelo,Using lose
move-on,andare avanti,Let’s move on,Andiamo avanti,Using continue
narrow-down,restringere,We narrowed down choices,Abbiamo ristretto le scelte,Using reduce
open-up,aprirsi,She opened up to me,Si è aperta con me,Using open
opt-out,rinunciare,She opted out,Ha rinunciato,Using quit
pass-away,morire,He passed away peacefully,È morto serenamente,Using die
pass-out,svenire,He passed out,È svenuto,Using faint
pass-out,svenire,He passed out,È svenuto,Using faint
pay-back,ripagare,He paid me back,Mi ha ripagato,Using return
phase-out,eliminare gradualmente,They phased out plastic,Hanno eliminato la plastica,Using remove
pick-out,scegliere,Pick out a shirt,Scegli una camicia,Using choose
pick-up,raccogliere / imparare,He picked up English,Ha imparato l’inglese,Wrong word order
play-down,minimizzare,They played down risks,Hanno minimizzato i rischi,Using reduce
point-out,far notare,She pointed out mistakes,Ha fatto notare errori,Using show
pull-apart,separare,They pulled them apart,Li hanno separati,Using separate
pull-off,riuscire,He pulled it off,Ce l’ha fatta,Using succeed
pull-over,accostare,Pull over here,Accosta qui,Using stop
push-through,portare a termine,They pushed through reforms,Hanno portato avanti riforme,Using force
put-away,mettere via,Put your toys away,Metti via i giochi,Using put
put-off,rimandare,They put off the trip,Hanno rimandato il viaggio,Using postpone
put-on,indossare / fingere,Put on your jacket,Indossa la giacca,Confusing meanings
roll-out,introdurre,They rolled out a product,Hanno lanciato un prodotto,Using launch
rule-out,escludere,We ruled it out,L’abbiamo escluso,Using exclude
run-into,incontrare per caso,I ran into her,Mi sono imbattuto in lei,Using meet
run-out,finire,We ran out of time,Abbiamo finito il tempo,Using finish
run-out-of,rimanere senza,We ran out of time,Siamo rimasti senza tempo,Missing of
scale-up,espandere,They scaled up business,Hanno ampliato l’attività,Using grow
see-through,scoprire,She saw through lies,Ha smascherato bugie,Using understand
sell-out,esaurire,Tickets sold out,I biglietti sono esauriti,Using finish
set-aside,mettere da parte,Set aside money,Metti da parte soldi,Using save
set-off,partire / innescare,We set off early,Siamo partiti presto,Using start
set-off,partire,We set off early,Siamo partiti presto,Using start
settle-down,stabilirsi,He settled down,Si è stabilito,Using relax
set-up,organizzare / fondare,They set up a company,Hanno fondato un’azienda,Confusing noun/verb
set-up,organizzare,She set up a meeting,Ha organizzato una riunione,Using arrange
show-up,presentarsi,He didn’t show up,Non si è presentato,Using appear
shut-down,chiudere,The factory shut down,La fabbrica ha chiuso,Using close
sink-in,essere compreso,It finally sank in,Finalmente l’ho capito,Using understand
sit-down,sedersi,Sit down please,Siediti per favore,Using sit only
slow-down,rallentare,Slow down please,Rallenta per favore,Using stop
sort-out,risolvere,We’ll sort it out,Risolveremo,Using fix
speed-up,accelerare,Speed up please,Accelera per favore,Using hurry
split-up,separarsi,They split up,Si sono separati,Using break up
stand-for,rappresentare,UN stands for United Nations,ONU sta per,Using mean
stand-out,distinguersi,She stands out,Si distingue,Using shine
stand-up,alzarsi / stare in piedi,Stand up now,Alzati ora,Using stand only
stay-up,rimanere svegli,We stayed up late,Siamo rimasti svegli,Using wake
step-down,dimettersi,He stepped down,Si è dimesso,Using resign
step-in,intervenire,He stepped in,È intervenuto,Using interfere
stick-to,attenersi a,Stick to the plan,Attieniti al piano,Using follow
sum-up,riassumere,To sum up,Per riassumere,Using summarize
take-apart,smontare,He took it apart,L’ha smontato,Using break
take-back,riprendersi / ritrattare,I take it back,Ritiro quello che ho detto,Using return
take-in,ingannare / accogliere,He was taken in,È stato ingannato,Confusing meanings
take-off,decolare / togliere,The plane took off,L’aereo è decollato,Using take only
take-over,prendere il controllo,He took over the company,Ha preso il controllo,Using control
talk-over,discutere,Let’s talk it over,Parliamone,Using discuss
think-over,ripensare,Think it over,Riflettici,Using think about
throw-away,buttare,Throw it away,Buttalo via,Using throw only
throw-out,buttare,Throw it out,Buttalo fuori,Using throw away
track-down,rintracciare,Police tracked him down,La polizia l’ha rintracciato,Using find
try-on,provare (vestiti),Try it on,Provalo,Using try
turn-around,migliorare,Things turned around,Le cose sono migliorate,Using change
turn-down,rifiutare,She turned down the offer,Ha rifiutato l’offerta,Using refuse
turn-off,spegnere,Turn off the light,Spegni la luce,Using switch off
turn-on,accendere,Turn on the TV,Accendi la TV,Using switch on
turn-up,arrivare / aumentare,He turned up late,È arrivato tardi,Confusing with turn on
use-up,consumare,We used up all water,Abbiamo consumato tutta l’acqua,Using finish
wake-up,svegliarsi,I wake up early,Mi sveglio presto,Using wake
warm-up,riscaldarsi,Let’s warm up,Riscaldiamoci,Using heat up
wash-away,spazzare via,The rain washed it away,La pioggia l’ha portato via,Using remove
watch-out,stare attenti,Watch out!,Attento!,Using be careful
wear-off,svanire,The pain wore off,Il dolore è svanito,Using disappear
wear-out,consumare / stancare,Shoes wear out,Le scarpe si consumano,Using exhaust
work-out,allenarsi / riuscire,It worked out well,È andata bene,Using work only
work-out,funzionare / allenarsi,It worked out,È andata bene,Confusing meanings
wrap-up,concludere,Let’s wrap up,Concludiamo,Using finish
write-down,annotare,Write it down,Annotalo,Using write only
